No.,종목명,기준,시장,자산총계,자본금,자본총계,매출액,영업이익,순이익
655,천일고속,202312,유,54743,7146,19059,43998,-5148,-4813
656,KH 필룩스,202312,유,461102,42813,445774,37730,-11925,-4885
657,현대퓨처넷,202312,유,769436,55101,747782,66924,-3652,-4902
658,한솔PNS,202312,유,119282,10247,42899,283967,422,-4967
659,부산주공,202312,유,238226,39391,19944,241721,364,-5085
660,에쓰씨엔지니어링,202312,유,79690,16186,32615,123942,-1245,-5137
661,대림B&Co,202312,유,329249,16672,151963,243170,5875,-5228
662,한국전자홀딩스,202312,유,149756,23402,141063,11935,-5406,-5295
663,메타랩스,202312,유,74779,62262,71702,6031,-3622,-5488
664,SKC,202312,유,3031204,189341,1801374,83049,22125,-5508
665,삼화전자,202312,유,60533,16903,28087,30682,-1166,-5820
666,동일산업,202312,유,435929,12126,393616,382163,-8892,-6064
667,한솔홈데코,202312,유,310127,83765,164638,295540,1958,-6198
668,이수스페셜티케미컬,202312,유,217960,27994,94989,117529,-6120,-6206
669,유니켐,202312,유,219549,48792,145589,108288,4744,-6254
670,영흥,202312,유,376560,50655,211013,200773,324,-6401
671,에이엔피,202312,유,98400,22558,43055,140302,4942,-6467
672,씨아이테크,202312,유,62593,25033,46090,18960,-1487,-6575
673,코아스,202312,유,68513,15454,9715,71691,-3513,-6948
674,하이트론,202312,유,27560,13806,7070,5504,-6551,-7037
675,CR홀딩스,202312,유,819521,23445,547869,5325,-9103,-7092
676,에스메디,202312,유,118896,76944,110369,17257,1027,-7109
677,비비안,202312,유,183196,14897,84280,196736,4494,-7252
678,유유제약,202312,유,170517,20202,102781,102224,-3057,-7289
679,기신정기,202303,유,258084,14600,240222,129315,8217,-7311
680,바이오노트,202312,유,1001619,51028,989024,84876,-42417,-7859
681,삼화왕관,202312,유,184268,10772,105724,131757,11823,-7896
682,HD현대에너지솔루션,202312,유,499159,56000,369967,522030,10716,-7954
683,국제약품,202312,유,161572,21160,83676,131274,-2043,-8421
684,두산퓨얼셀,202312,유,1070843,8184,512652,260886,1642,-8500
685,대성산업,202312,유,969099,226177,569784,740703,7540,-8659
686,조비,202312,유,118589,25961,52285,114718,-5582,-9037
687,대원화성,202312,유,121127,20625,52801,118264,-4543,-9237
688,미래아이앤지,202312,유,84462,13942,58141,13026,3233,-9298
689,이월드,202312,유,421667,141806,235283,115276,7923,-9443
690,대림통상,202312,유,163992,16425,75725,113422,-8465,-10090
691,남성,202312,유,209340,18106,108230,40696,-165,-10147
692,서원,202312,유,246997,23737,123996,233179,453,-10159
693,디씨엠,202312,유,277643,6000,243377,218259,9056,-10302
694,신풍,202312,유,75812,17479,67890,23925,-3550,-10426
695,제이준코스메틱,202312,유,43127,2242,38214,14389,-9028,-10493
696,TCC스틸,202312,유,491839,26214,198110,471543,8917,-10701
697,선도전기,202312,유,85950,9000,18377,38132,-6814,-11506
698,범양건영,202312,유,119034,24832,61343,105466,-10177,-12126
699,오리엔트바이오,202303,유,81050,59292,71392,28819,1453,-12424
700,한솔제지,202312,유,2053883,119013,730139,2072862,28602,-12578
701,일신방직,202312,유,635734,12000,561547,320134,-15864,-12688
702,유니온머티리얼,202312,유,165978,21000,78948,116135,-2714,-12883
